File,Ay,By,min(V),max(V),min(M),max(M),min(Y),max(Y),x(v=0),x(m=0),x(v=min(V)),x(v=max(V)),x(m=min(M)),x(m=max(M))
C1.00,4.12e3,4.12e3,-4.12e3,4.12e3,-272.17e3,0,0,0.55,132,0,0,264,132,0
C2.10,5.22e3,4.49e3,-5.22e3,4.49e3,-314.98e3,0,0,0.64,126.1,264,0,264,126.1,0
C2.11,4.52e3,4.52e3,-4.52e3,4.52e3,-298.63e3,0,0,0.61,132,264,0,264,132,0
C3.11,3.53e3,3.53e3,-3.53e3,3.53e3,-233.29e3,0,0.00,0.47,132,0,0,264,132,0
C3.12,10.00e3,9.21e3,-10.00e3,9.21e3,-635.04e3,0,0,1.29,127,264,0,264,127,0
C3.21,5.76e3,3.42e3,-5.76e3,3.42e3,-290.60e3,0,0,0.58,111.9,264,0,264,111.9,0
C3.22,12.23e3,9.09e3,-12.23e3,9.09e3,-691.21e3,0,0,1.40,119.3,264,0,264,119.3,0
C4.11,-1.81e3,-1.81e3,-1.81e3,1.81e3,0,119.55e3,-0.24,0,132,264,264,0,0,132
C4.12,-1.11e3,-1.85e3,-1.85e3,1.11e3,0,105.54e3,-0.21,0.00,148,0,264,0,0,148
C4.21,11.12e3,9.54e3,-11.12e3,9.54e3,-685.45e3,0,0,1.39,123.2,264,0,264,123.2,0
C4.22,11.82e3,9.50e3,-11.82e3,9.50e3,-703.18e3,0,0,1.42,121.1,264,0,264,121.1,0
C5.00,4.21e3,3.92e3,-4.21e3,3.92e3,-265.83e3,0,0,0.54,129.2,264,0,264,129.2,0
C6.10,-3.69e3,-3.69e3,-3.69e3,3.69e3,0,243.21e3,-0.49,0,132,0,264,0,0,132
C6.20,9.25e3,7.67e3,-9.25e3,7.67e3,-562.43e3,0,0.00,1.14,121.6,264,0,264,121.6,0
